writings,['39040']
cancellation,"['38993', '38993']"
criticism,['38310']
golden,"['38788', '39036']"
topography,"['38376', '38853']"
projection,"['38462', '38692', '39639', '38567', '38843', '38843', '38312', '38542', '38454']"
classification,"['38376', '38376', '38852', '38852', '38852', '38852', '38375', '38375', '38375', '38375', '38853', '38853']"
explained,"['39078', '38990', '39638', '38612', '37955', '38259', '38403', '38331']"
txc,['39631']
replace,"['38368', '39078', '39078', '39033', '39656', '39638', '39638', '38277', '38277', '38277', '38543', '38345', '38544', '39057', '38341', '39000', '38340', '38403', '38403']"
brought,"['38930', '38778', '38821', '39651']"
unix,"['39078', '38845', '38845', '38845', '38845', '39665', '39035', '38586', '38586', '38586', '38743', '38871', '38669', '38669', '37918', '38679', '38679', '38445', '38385', '37915', '37915', '39672', '38376', '38376', '38376', '38376', '38376', '38376', '38376', '38376', '38410', '39071', '38512', '39027', '38266', '38692', '38848', '39062', '39062', '38296', '38767', '39024', '38852', '38852', '38852', '38852', '38852', '38852', '38852', '38852', '38852', '38852', '38852', '38976', '38976', '38976', '38976', '39638', '38730', '38310', '38324', '38709', '38838', '39038', '38770', '39070', '38223', '38223', '38223', '37935', '38846', '38625', '38969', '39059', '39059', '39059', '39059', '39666', '38965', '38257', '38257', '38257', '38257', '38778', '38778', '38778', '38778', '38778', '38415', '38696', '38908', '38908', '38908', '38908', '38851', '38851', '38851', '38851', '38851', '38440', '39630', '39630', '39630', '38723', '39063', '39063', '38375', '38375', '38375', '38375', '38375', '38375', '38375', '38375', '38375', '38375', '39057', '38994', '38994', '38989', '38715', '38703', '38686', '38686', '38394', '38857', '39673', '38377', '38377', '38377', '38377', '38377', '38403', '38588', '38487', '38853', '38853', '38853', '38853', '38853', '38853', '38853', '38853', '38787', '38837', '38837', '38837', '38837', '38584', '38596']"
haapaniemi,"['38771', '38771', '38776', '38989']"
ction,['38753']
stern,"['39081', '39081', '39019', '39019', '38905', '38905', '38905']"
stjohn,"['38526', '38487']"
univ,"['38923', '39067', '38445', '38960', '38376', '38376', '38780', '38852', '38852', '37944', '38290', '38690', '38272', '37913', '38733', '38733', '38742', '38255', '39059', '38425', '38816', '38312', '39055', '39055', '38993', '38851', '38851', '38851', '38656', '38375', '38375', '38662', '38662', '38377', '38377', '38377', '38483', '38853', '38853', '37914']"
unit,"['38652', '38827', '38827', '38614', '38817', '38817', '39071', '38239', '38239', '38399', '38852', '38852', '38976', '38710', '38957', '38957', '38603', '38770', '38820', '38820', '38778', '38823', '38823', '38622', '38622', '38824', '38824', '38822', '38822', '38440', '38963', '38963', '38375', '38375', '38962', '38962', '39003', '39003', '38392']"
derivatives,"['38298', '38698']"
dna,"['39007', '39059', '38844', '38844']"
spoke,"['38484', '38484', '38345']"
browse,"['38536', '38933', '38577', '38851', '38377', '38281']"
music,"['38309', '38613', '38846', '38429', '38821', '38821', '38993', '38851', '39009', '39009', '38460', '38935', '38377', '38787']"
therefore,"['39078', '38856', '38921', '37946', '38852', '39638', '38684', '39646', '39667', '38815', '38259', '38993', '39018', '38460', '38375', '39629', '39664', '39673', '39673', '38403']"
passport,['39059']
distortions,['38699']
standardized,"['39078', '38990', '38852', '39638', '38375', '38403']"
holy,"['38303', '38429']"
successful,"['38835', '39644', '39644', '39062', '38406', '38985', '39058']"
brings,"['38835', '38722', '39041']"
faceted,['39658']
glass,"['38842', '38702', '38851', '39648', '39648', '39648', '38377']"
milestones,['38778']
biblio,"['38778', '38851', '38377']"
supervga,"['38252', '38970', '38682', '39642']"
hole,"['37962', '38734', '38852', '38852', '38733', '38778', '38851', '38375', '38375', '39673', '38377', '38338', '38338', '38338', '38338']"
hold,"['39066', '38448', '39036', '39032', '38324', '38223', '38823', '38348', '38941', '39632', '38963', '39738', '38357']"
circumstances,"['38307', '39490', '38331']"
pirenne,"['38851', '38377']"
moreillo,"['38851', '38377']"
pursue,"['38976', '38782']"
temperatures,['38993']
concepts,"['38976', '38230', '38841', '38841', '38342']"
example,"['39078', '39078', '38750', '38842', '38842', '38371', '38462', '38462', '38728', '38697', '39067', '38734', '38921', '38370', '38376', '38376', '38376', '38099', '38852', '39638', '39638', '38754', '38531', '39020', '38933', '39496', '38273', '39667', '38931', '38931', '38702', '38702', '38985', '38778', '38778', '38720', '38506', '38851', '38851', '38623', '38749', '38682', '38682', '38682', '38378', '38375', '38461', '38715', '38485', '39620', '39673', '38396', '39082', '38377', '38377', '38980', '38403', '38403', '38853', '38853', '38853', '39003', '39642', '39642', '39642', '38456']"
wang,"['38717', '39046', '39015', '39015', '39015', '38709', '38709', '38839', '40062', '38781', '38262', '38460', '37945', '37945']"
kaprow,['38460']
organized,"['38856', '38265', '38921', '38933', '39651', '38456']"
swivel,"['39041', '39031', '38321', '39019', '39019']"
caution,"['39078', '39638', '38258', '38403']"
reviewing,"['38938', '39490']"
want,"['38381', '39066', '38829', '39078', '39078', '39078', '39078', '39078', '39078', '39078', '39078', '39078', '39078', '39078', '38737', '39628', '38462', '39040', '38743', '38743', '38743', '38501', '38923', '38923', '37931', '39626', '38270', '38734', '38647', '38898', '38898', '37961', '37961', '37961', '38945', '39033', '39617', '39617', '39617', '38441', '38538', '38605', '38887', '38713', '38376', '38376', '38598', '38873', '38920', '38920', '38226', '38293', '38293', '38384', '38384', '38384', '38549', '38549', '38549', '38990', '38738', '39024', '39076', '38852', '38852', '38536', '38497', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '39638', '38917', '38740', '38280', '38754', '38964', '38826', '38959', '38959', '38246', '38290', '39676', '38224', '37913', '38273', '38846', '38801', '38889', '38625', '38521', '38435', '38435', '38435', '38541', '39660', '39660', '38820', '38741', '38741', '38860', '38257', '38778', '38778', '38778', '38778', '38778', '38778', '38778', '38363', '38363', '38415', '38269', '38269', '38469', '38259', '38259', '38259', '38259', '38259', '38847', '38577', '38577', '38577', '38577', '38577', '38577', '38577', '40027', '40027', '38622', '38622', '38824', '39632', '39632', '38849', '38849', '38369', '38993', '38993', '38851', '38851', '39648', '38904', '38723', '38876', '38876', '38777', '38777', '38777', '38893', '38963', '38963', '39060', '38244', '38682', '38682', '38682', '38682', '38682', '38682', '38682', '38682', '38682', '38471', '39615', '39615', '39615', '39063', '39650', '38375', '38375', '38461', '38457', '38457', '38457', '38457', '38485', '39673', '39673', '38428', '38396', '39000', '39500', '38644', '38633', '38377', '38377', '39029', '38947', '38514', '38980', '38980', '38980', '38403', '38403', '38403', '38403', '38403', '38403', '38403', '38403', '38403', '38403', '38403', '38861', '38803', '38232', '38232', '38382', '38452', '38452', '38944', '38853', '38853', '38787', '38922', '39003', '39003', '39003', '39003', '39642', '39642', '39642', '39642', '39642', '39642', '39642', '39642', '39642', '38456', '39652', '38392', '37957', '38357']"
organizer,"['39078', '39638', '38403']"
enablement,['38848']
dyke,"['38306', '38306']"
absolute,"['39007', '39007', '38852', '38985', '38778', '38778', '38753', '38375']"
preferably,"['38289', '38289', '38773', '38852', '38690', '39070', '38421', '39666', '38577', '38430', '38938', '38375', '39673']"
mcvax,"['38510', '38509']"
biographical,['38577']
inala,['38699']
unpaid,['39673']
complaining,"['38292', '38277']"
dimple,"['38852', '38852', '38852', '38852', '38852', '38375', '38375', '38375', '38375', '38375']"
travel,"['37948', '38868', '38577', '38993', '38753']"
feature,"['39040', '38344', '38728', '38728', '38728', '38728', '38728', '38728', '38898', '38376', '38376', '38376', '38852', '38852', '38852', '38852', '38852', '38852', '38628', '38375', '38375', '38375', '38375', '38375', '38375', '38715', '38715', '38813', '38980', '38997', '38481', '38853', '38853', '38853', '39003', '38331', '38331']"
hoi,"['38735', '38735', '38550', '38550']"
machine,"['39078', '39078', '39078', '39078', '39078', '39078', '38845', '38845', '38845', '38400', '38726', '38655', '38304', '38304', '38304', '38304', '38431', '37961', '39033', '39033', '38538', '38376', '38376', '38376', '38376', '38376', '38650', '39644', '38240', '38852', '38852', '38362', '39638', '39638', '39638', '39638', '39638', '39638', '38730', '38523', '39061', '38933', '38458', '37935', '38677', '39059', '39059', '39059', '38965', '38778', '38778', '38908', '38908', '38908', '38543', '38416', '38416', '38416', '38416', '38649', '38649', '38658', '38658', '38851', '38851', '38851', '38851', '38851', '38851', '38438', '39630', '39001', '38375', '38375', '38994', '38341', '38377', '38377', '38377', '38377', '38377', '38377', '38403', '38403', '38403', '38403', '38403', '38403', '38248', '38452', '38853', '38853', '38853', '38853', '38853', '38442', '38837', '38837', '38837', '38392']"
hot,"['38311', '38225', '38226', '38296', '39489', '39489', '39646', '39667', '38269', '39019', '39664', '38905']"
playback,"['38263', '39027', '38873', '38873', '38873', '38873', '38873', '38873', '38873', '38873', '38873', '38873', '38873', '38873', '38873', '38873', '38873', '38758', '38758', '38758', '38758', '38758', '38758', '38758', '38758', '38758', '38758', '38758', '38301', '38363', '38428', '38428', '38392']"
hypertetrahedra,"['38851', '38377']"
hop,['38658']
significance,"['38648', '38216', '38216', '38499', '38499', '38303', '38906', '38558', '38643', '39015', '38508', '38603', '38624', '38255', '38255', '38518', '38707', '38627', '38636', '38592', '38559', '38658', '38926', '38809', '38633', '38545', '38545']"
harlan,"['38954', '38654']"
magicangle,"['38701', '38701', '38701', '38701']"
winsock,['39059']
cadence,['38733']
wolfram,"['38983', '38983', '38983', '38983', '38983', '38983', '38753']"
mueller,"['38303', '38761']"
beauty,"['38873', '38706', '38748']"
mediating,['38770']
typed,"['37951', '39490']"
minimized,"['38450', '38406']"
connects,['38471']
diagram,"['38337', '38852', '38852', '38852', '38957', '38957', '38957', '38233', '38375', '38375', '38375']"
wrong,"['38829', '38317', '39040', '38615', '37951', '38798', '38885', '38484', '38339', '38945', '38673', '39033', '39033', '38864', '38376', '38379', '38410', '38512', '38579', '38285', '37948', '39032', '38307', '39061', '39061', '38227', '38535', '38860', '38970', '38778', '38778', '38881', '39055', '38543', '38851', '38330', '38330', '38876', '38963', '38963', '38547', '38475', '40008', '38377', '38911', '38980', '38566', '38769', '38319', '38853', '39003', '38875', '38411']"
henrik,"['37950', '37950', '37950', '37950', '37917', '37917']"
charleston,['39081']
yourdon,['38753']
extortion,['39020']
types,"['39078', '39078', '38304', '38923', '38923', '38309', '38609', '38376', '38376', '38848', '38473', '38852', '38852', '38852', '38852', '38852', '38537', '38537', '39638', '39638', '39489', '39489', '39489', '38252', '38826', '38826', '38933', '38931', '39059', '38415', '38259', '38577', '38577', '38851', '38851', '38895', '39001', '38375', '38375', '38375', '38375', '38375', '37261', '38377', '38377', '38403', '38403', '38853', '38853']"
vance,"['38871', '38871', '39617']"
effective,"['38376', '38852', '38852', '38375', '38375', '38853']"
helsinki,"['38556', '39053', '38526']"
revolt,"['38971', '38971', '38971', '38971', '38971']"
headquarters,"['38241', '37927']"
fictional,"['38512', '38539', '38507']"
chert,"['38635', '38635', '38635', '38635', '38635', '38635']"
menlo,"['38880', '38376', '38376', '38257', '38853', '38853']"
keeps,"['39078', '39007', '39638', '40008', '38403', '37932']"
iapr,"['38993', '38993']"
scdinfo,"['38376', '38853']"
vidoe,['39671']
restriction,"['38376', '39059', '39059', '38853']"
langley,['39658']
feedback,"['39649', '38887', '38692', '38537', '38933', '38931', '38931', '38931', '38778']"
vars,['38927']
telecom,['38796']
xlib,"['38743', '38650', '38650', '38650', '38625', '38778', '38861']"
nickolas,"['38851', '38377']"
saari,"['38919', '39029']"
vary,"['39078', '38304', '38848', '39638', '38778', '38403']"
suspend,['38897']
intangible,['39673']
lerios,"['38376', '38853']"
beerhall,"['38993', '38993', '38993']"
nishantha,"['38679', '38679', '38459', '38459', '38686', '38686']"
owens,"['38484', '38851', '38377']"
activating,['38535']
suggeeded,"['38535', '38980', '39003']"
receiver,['39489']
fir,"['38851', '38377']"
uop,['38652']
wickedly,['39673']
fit,"['39078', '39078', '37931', '37931', '37931', '37931', '38376', '38852', '39012', '39012', '39638', '39638', '38971', '39646', '39667', '38375', '39664', '39673', '38463', '39668', '39668', '38403', '38403', '38853', '38331']"
directional,"['38852', '38375']"
bringing,"['38426', '38376', '38764', '38770', '39490', '38853']"
fix,"['39078', '39078', '38856', '38856', '38921', '38921', '38864', '38796', '39638', '39638', '38310', '38752', '38752', '38508', '37937', '39632', '38804', '38682', '38682', '38682', '38682', '38403', '38403', '39642', '38897']"
xm,['38625']
discourse,['39490']
inan,['39651']
fif,"['38846', '39055', '39055', '38787']"
fig,"['38946', '38459']"
nobles,"['38605', '38315', '38315', '38224', '38548', '38548', '38418', '38418', '38232', '38232']"
hidden,"['38814', '38814', '38814', '38371', '38484', '38379', '38268', '38293', '38852', '38359', '38272', '38458', '38831', '38843', '38284', '38438', '38358', '38358', '38375', '38485', '38699', '38576', '38576', '38576', '38382', '38442']"
admirable,['38706']
easier,"['39078', '38882', '38371', '38743', '38376', '38610', '38320', '38293', '38990', '38643', '39638', '38508', '38603', '38432', '38312', '39670', '38617', '38403', '38769', '38751', '38853', '39003']"
darrah,['38753']
woods,"['38870', '38769']"
undercut,['39675']
flipping,"['37944', '38468', '38468']"
educating,['38907']
effects,"['39078', '38923', '38534', '38534', '38873', '38758', '38852', '39638', '38957', '38826', '37920', '37920', '37919', '37919', '38257', '38851', '39009', '38682', '38682', '38682', '38375', '38377', '38403', '39642', '39642', '39642', '38948']"
interrupt,"['38250', '38976', '38537', '38970', '37959']"
trondheim,"['38920', '38993', '38455', '38455', '38708', '38442']"
multidimensional,"['38852', '38778', '38375']"
sixteen,"['39078', '39638', '38403', '38944']"
silver,"['38376', '38700', '39074', '38851', '38851', '38267', '38267', '38895', '38377', '38377', '38853']"
fsmarc,"['38660', '38660', '38660']"
structural,"['39647', '38582']"
represents,"['38474', '38505', '38516', '38433', '38848', '38852', '38981', '38778', '38778', '38778', '38778', '38363', '38360', '38503', '38375', '38557']"
rasterized,"['38980', '38980', '39003', '39003']"
thyme,['38284']
merrily,['38497']
strayed,['38570']
barton,['37954']
hipsaddon,"['38852', '38375']"
dumps,"['38864', '38796', '38394']"
crops,['39007']
cerrito,"['38851', '38377']"
arrow,"['38682', '38682', '38682', '39642', '39642', '39642']"
nz,['38851']
cybernetics,"['38849', '39490']"
gumshoe,['38753']
queued,['39657']
bright,['39632']
financial,"['38304', '39071', '38577']"
snakes,"['38851', '38377']"
series,"['38304', '38304', '38304', '38304', '38906', '39617', '39617', '39617', '39617', '38376', '38376', '38650', '39071', '39636', '38852', '38852', '38976', '38971', '38971', '38373', '38277', '38257', '38257', '38778', '38778', '38577', '38577', '38577', '38851', '38851', '38851', '38938', '38938', '39615', '39615', '39615', '38774', '38375', '38375', '39664', '38377', '38377', '38377', '38861', '38861', '38861', '38861', '39651', '38853', '38853', '38596']"
mapsut,['38653']
displacement,"['38462', '38462']"
abuse,"['38778', '38633']"
mcdougald,"['39067', '39067', '38742', '38742', '38765', '38769']"
nntpusr,"['38889', '38816']"
substantially,"['38985', '38985']"
laboratory,"['39665', '38743', '37915', '38376', '38315', '38692', '38848', '38848', '38852', '38852', '38852', '38852', '39736', '38637', '38778', '38778', '38816', '38993', '38629', '38375', '38375', '38375', '38375', '38989', '38333', '38548', '38418', '38853', '38739', '38782']"
huckel,"['38376', '38853']"
mdt,"['38650', '37916', '38382']"
rt,"['38376', '38851', '38851', '38851', '38851', '38851', '38851', '38851', '38851', '38851', '38851', '38851', '38851', '38851', '38851', '38377', '38377', '38377', '38377', '38377', '38377', '38377', '38377', '38377', '38377', '38377', '38377', '38377', '38377', '38853']"
oooo,['38708']
sgihub,['38554']
forwarding,['38897']
rr,"['38753', '39049', '38803']"
luftreisebyraa,"['38993', '38993']"
smirk,['39675']
urbana,"['38303', '38834', '39030', '39080', '39031', '38262', '38772', '38606', '38626', '37928', '37957']"
xsharp,"['38851', '38377']"
dsp,"['37922', '38376', '38852', '38852', '38852', '38852', '38770', '38375', '38375', '38375', '38375', '38853', '38392']"
mason,['39023']
rd,"['38705', '38339', '38376', '38582', '38582', '38848', '38853']"
lynne,['38231']
encourage,"['38856', '37960', '38429', '38429', '38577', '37941']"
ra,['38849']
rb,['38309']
rl,"['38851', '38377']"
rm,"['38655', '38976', '38677', '38677', '38288', '39073', '38876']"
engineer,"['38705', '38376', '38376', '38582', '38226', '38976', '38976', '38976', '38976', '38976', '39001', '38853', '38853', '38948']"
rh,"['38879', '38879', '38879', '38879', '38879', '38879', '38879', '38889', '38889', '38889', '38889', '38889', '38889', '38889']"
filmpak,"['38822', '38595']"
rpaints,"['38852', '38375']"
foundation,"['38376', '38659', '38659', '38467', '38369', '38460', '39044', '38853']"
assured,['38699']
midpoint,['38426']
surveys,['38230']
assures,['38577']
ian,"['38390', '38390', '38549', '37955', '38541', '38541', '38777', '38753', '38753', '38251']"
ferdinan,"['38556', '38480', '38472', '38472', '38247', '38247', '38668', '38668']"
enhance,"['38852', '38852', '38852', '38852', '38852', '38375', '38375', '38375', '38375', '38375', '39642']"
sheet,"['38612', '38469', '38774', '38464', '38502']"
sensors,['39489']
cornerstone,"['38616', '38616', '38616']"
enormous,"['39066', '38398']"
bates,"['38727', '38727', '38727', '38727']"
subtractions,"['38852', '38375']"
atm,"['39669', '39669', '39675', '39675', '39675', '39675', '39675', '39675']"
lsgif,"['39055', '39055']"
ati,"['38605', '38725', '38725', '38725', '38252', '38414', '38414', '38414', '38543', '38543', '38543', '38543', '38543', '38543', '38345', '38345', '38345', '38544', '38544', '38544', '38544', '39618', '39618', '38401', '38401', '38401', '38606', '38606', '38341', '38341', '38341', '38341', '38341', '39028', '38340', '38340', '38340', '37947', '37947']"
silicon,"['38304', '38304', '37949', '37949', '38376', '38376', '38376', '38376', '38376', '38732', '38732', '38732', '39007', '38554', '38554', '38296', '38296', '38852', '38839', '38933', '38257', '38257', '38257', '38257', '38257', '38851', '38851', '38851', '38229', '38229', '38753', '38375', '39498', '38377', '38377', '38377', '38853', '38853', '38853', '38853', '38853']"
att,"['38501', '38975', '38740', '38231', '38993', '38993', '38993', '38372', '38832', '38739']"
sahr,"['38975', '38975', '38975', '38975']"
speeds,"['38927', '38873', '38758', '38851', '38377', '38452']"
realspace,['38373']
polyhedron,['39660']
shopper,"['38271', '38250']"
unfilled,['38699']
aeta,"['38851', '38377']"
rustad,"['38882', '38882', '38882', '38882']"
channels,"['38921', '39007', '38692', '38778']"
spinning,"['38615', '38615']"
megabytes,"['38898', '38577', '38851', '38377']"
dismutase,['38778']
softworks,"['38704', '38590']"
sutherland,"['38376', '38376', '38376', '38915', '38915', '38530', '38530', '38792', '38314', '38314', '38944', '38853', '38853', '38853']"
hexcone,"['38888', '38949']"
crying,['38262']
