lulea,['10637']
fingers,"['9172', '10633', '10208', '9563', '10622', '9996', '10640']"
ejdj,['9980']
optimization,"['9563', '9969', '9482', '9518', '9669']"
usenet,"['9962', '9740', '9152', '9596', '9932', '9720', '9720', '9528', '9841', '9841', '9137', '9646', '9859', '9727', '9727', '9592', '10173', '10173', '9529', '9924', '10036', '10036', '10036', '9631', '10673', '10673', '10185', '10073', '9504', '9171', '10726', '10819', '10043', '9812', '9144', '9144', '9797', '9733', '10072', '10072', '9517', '9725', '9725', '10081', '9731', '10839', '10839', '9671', '9730', '9769', '10606', '10606', '10042', '9540', '10723', '9768', '9921', '10028', '9801', '9151', '9819', '9571', '9139', '9160', '10139', '9989', '10609', '9503', '10181', '10836', '10807', '9672', '9900', '9536', '10943', '9168', '10079', '9576', '9831', '9831', '10741', '10741', '10620', '10620', '9756', '9837', '9452', '9479', '10612', '9963', '9955', '9497', '9645', '9829', '10694', '10694', '9578', '9578', '10170', '10809', '9628', '9923', '9650', '9683', '9468', '9468', '9692', '9692', '10869', '10869', '9842', '9520', '10874', '9773', '9469', '9469', '10203', '9913', '10664', '9454', '10865', '9463', '9150', '9693', '9693', '9564', '9844', '10107', '10792', '9611', '10005', '10153', '9864', '10833', '9154', '10603', '10617', '10061', '9582', '9158', '9158', '9763', '10143', '10123', '10661', '9597', '9597', '9494', '10007', '10696', '9834', '9138', '10599', '9558', '10866', '9917', '9917', '9523', '9523', '9729', '10150', '10649', '9849', '10175', '9471', '9872', '10619', '10619', '9499', '9794', '10084', '10108', '9483', '10791', '10124', '10854', '10854', '10818', '9684', '9846', '9974', '9770', '9537', '9629', '9456', '10849', '10793', '10793', '9482', '9482', '9473', '10115', '9485', '10207', '9757', '9598', '9598', '9169', '9918', '9590', '9590', '9682', '10734', '10734', '9594', '9746', '10740', '9717', '10868', '10868', '10119', '10119', '9755', '9560', '10117', '9793', '10831', '10812', '9505', '9480', '9785', '9944', '9701', '9484', '9886', '10176', '9760', '9760', '10727', '9795', '9738', '9738', '9738', '9511', '10038', '10154', '10817', '10025', '10025', '9498', '9498', '9642', '9708', '10672', '10672', '10942', '10087', '9878', '9640', '9732', '9888', '9609', '9617', '9584', '9910', '9667', '9765']"
iujq,"['9982', '9982']"
cars,['10683']
fub,"['10602', '10601', '9656']"
odinsup,"['9541', '9658', '9659']"
klaava,['10911']
mogg,['9543']
specialist,"['9688', '9752']"
bicompression,"['10170', '10170']"
nukurangi,['10144']
huzku,['9830']
xtv,['10140']
herc,"['9452', '9563', '9474', '9509']"
error,"['9715', '10933', '9775', '9854', '9912', '10073', '9517', '9730', '9784', '9819', '9634', '9634', '10050', '10050', '9508', '10181', '10181', '9719', '9621', '9751', '9578', '9922', '10834', '9688', '10603', '9718', '9737', '9737', '9737', '9572', '9969', '10642', '9871', '9684', '10835', '9570', '9482', '10011', '9590', '10864', '10864', '10909', '10831', '9147', '9147', '9669', '9806', '9724', '10016', '10016', '9852', '10018', '10018', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '10942', '10942', '9743', '9743', '9816', '9816']"
fronts,['9588']
reported,"['9171', '9730', '10834', '10603', '10603', '10603', '10603', '9523', '9737', '10054']"
dorf,['10603']
cult,['10685']
oawgf,['10140']
rlb,"['9830', '9980']"
hample,['9730']
globalalloc,['10607']
kids,"['10606', '9682']"
pcplus,"['9501', '9523', '9547', '9475']"
k,"['9982', '9982', '9982', '9982', '9982', '9982', '9982', '9982', '9982', '9982', '9982', '9982', '9982', '9982', '9982', '9982', '9982', '9982', '9982', '9982', '9982', '9985', '9985', '9985', '9985', '9985', '9921', '10057', '9983', '9983', '9983', '9983', '9983', '9983', '9983', '9983', '9983', '9983', '9983', '9983', '9983', '10139', '9977', '9977', '9977', '9977', '9977', '9977', '9977', '9977', '9977', '9977', '9977', '9977', '9977', '9977', '9977', '9977', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9830', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9543', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9952', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '10140', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9544', '9660', '9660', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9471', '9471', '10206', '9981', '9981', '9981', '9981', '9981', '9981', '9981', '9981', '9981', '9981', '9981', '9981', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9542', '9861', '9746', '10075', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979', '9979']"
controler,['9517']
reports,"['9942', '9863', '9863', '9736', '9956', '10935', '9161', '10206', '10206', '9629', '9464', '10864', '10054', '9940', '9765']"
helldiver,"['9564', '9564']"
typing,['10135']
criticism,['10603']
appropriately,['9629']
txl,['10140']
iis,"['9843', '9843', '10009', '10009']"
carl,"['10010', '10109', '10109', '9549', '9549', '9966', '9966', '10766', '10766', '10141']"
geography,['10733']
aum,['9984']
explained,"['10105', '10033', '10158', '10864', '10148']"
txc,['9978']
txb,['9543']
replace,"['10724', '9172', '10780', '9762', '10155', '10155', '10155', '10801', '9926', '9700', '9523', '9575', '9499', '9515', '9699', '10864', '10864', '9893', '9495', '9680', '9711', '9940', '9865', '9865']"
brought,"['10151', '9149', '9157', '10620', '9650', '10123', '10128', '10146', '10118', '10119', '10936', '10936', '9689']"
unix,"['10933', '9589', '10036', '9631', '9631', '10109', '10109', '10109', '10808', '10808', '10803', '10780', '10780', '10780', '9153', '9153', '9501', '10198', '10035', '9686', '9549', '9151', '9151', '9151', '10768', '9820', '10133', '10204', '9533', '10174', '10807', '9148', '9956', '10013', '10167', '10167', '10167', '10167', '9650', '10796', '10801', '10801', '10801', '10801', '10801', '10801', '9620', '9620', '9620', '9620', '9884', '9773', '9773', '10158', '9925', '9976', '9688', '9493', '10603', '10603', '10603', '10603', '10603', '10603', '10603', '10603', '10603', '10061', '10863', '10040', '9874', '10661', '9834', '9949', '9949', '9523', '10199', '10113', '10843', '10843', '10843', '10169', '9687', '9938', '9777', '9873', '9684', '10643', '10643', '9488', '9475', '9948', '10015', '10793', '10848', '10848', '10848', '10848', '10049', '9682', '9682', '9581', '10004', '9635', '9635', '9635', '9635', '9635', '9143', '9143', '9143', '9143', '9143', '9143', '9143', '9143', '9774', '10096', '10096', '10096', '10096', '10096', '10176', '10176', '9828', '10024', '10137', '10766', '10936', '10195', '10640', '10104', '10135', '10135', '10135', '10179', '10122', '10122', '10122']"
lors,['9979']
mqir,"['9980', '9979']"
cocaine,"['10850', '10859', '10859']"
univ,"['9919', '10045', '9566', '10159', '10039', '10050', '9569', '9164', '9926', '10603', '10603', '10907', '10001', '10619', '10124', '10011', '10011', '10011', '9893', '9833', '9889', '9603']"
unit,"['9946', '9620', '9737', '9737', '9619', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642', '9642']"
voa,['9543']
dnd,"['9543', '9544']"
pgis,['10044']
cheating,"['9812', '9167', '9167', '9167', '9563']"
spoke,"['9523', '9515']"
xtf,['9976']
browse,"['9905', '10155', '9831', '9465', '10865']"
mbn,"['9976', '9976', '9976', '9976', '9704']"
pqqu,['10140']
tmsbjo,['9830']
music,"['9514', '9587', '9797', '9466', '10180', '10180', '10180', '10769', '10769', '10769', '10769', '10797', '10797']"
therefore,"['10872', '10194', '10204', '10153', '9763', '10177', '10011', '10011', '9170', '9759']"
dns,['9543']
distortions,['9540']
strike,"['10092', '9893', '9940']"
vjjk,['9985']
xya,['9978']
motj,['9830']
fnajz,['9979']
mzl,['9543']
dpcd,['9542']
holy,['9742']
successful,"['9915', '10684', '9956', '10820', '10852', '10603', '10603', '10830', '9635', '10817']"
brings,"['9740', '10837', '9971', '10849', '10855']"
hereby,['10603']
jmv,"['9544', '9544']"
hurt,['9152']
glass,['9153']
harmless,['10033']
tying,"['9601', '9594']"
supervga,"['9929', '9794']"
hole,"['10092', '10092', '9624', '9654']"
hold,"['9522', '9528', '9905', '10771', '10605', '9490', '9652', '9556', '10599', '10034', '10169', '10611', '10054', '9467', '9886', '9795', '10093']"
flkjr,['9977']
circumstances,"['9478', '9482', '9450']"
locked,['10178']
magritte,['9538']
gtonwu,"['9591', '9591', '9591', '9591', '9591', '9591', '9892', '9892', '9892', '9892', '9822', '9822', '9822', '9822', '9583', '9583', '9583', '9583', '9895', '9895', '9895', '9895']"
debari,"['9765', '9765']"
khouzam,"['10183', '10183', '10800', '10839', '10828', '10600', '10851', '10810', '10202', '10202', '10815', '10069', '10069', '9865', '9865']"
vov,['9543']
nppp,['10140']
yuq,['9543']
irqs,"['9174', '9174', '9174', '9523']"
concepts,"['10134', '10724', '10123']"
mvsodd,['9542']
example,"['9646', '9586', '10101', '9820', '10033', '10033', '9156', '9157', '10083', '9607', '9645', '9578', '9633', '10858', '10158', '10823', '10149', '10603', '10603', '10603', '10603', '10603', '10603', '9741', '10178', '9625', '10150', '10649', '10099', '10854', '9684', '10011', '10011', '10011', '10011', '10011', '10011', '10011', '10011', '10864', '10864', '10864', '10054', '9799', '9799', '10089', '9484', '9484', '9667', '9667']"
ofte,['10064']
phrase,['9726']
precambiran,['10170']
deltapoints,['10645']
wang,"['9921', '9921', '9818', '10181', '10181', '10181', '10052', '9548', '9864', '9864', '10140', '10140', '10140', '10140', '10866', '9704', '10941', '10728', '10728']"
acifuent,"['10053', '10053', '10053', '9675', '9675', '9675']"
organized,"['9465', '9737']"
dragons,['10033']
caution,['10054']
want,"['10058', '10650', '9637', '9965', '10827', '9716', '9909', '10660', '10660', '9596', '9720', '9754', '9859', '10125', '10173', '9589', '9802', '9529', '10036', '10109', '10185', '9504', '10056', '10940', '9915', '9587', '9797', '9653', '9639', '9762', '9521', '10616', '10616', '10616', '10616', '9731', '9678', '10155', '10155', '9921', '9151', '9466', '10139', '10097', '10097', '10838', '9848', '9167', '9168', '9959', '9831', '10741', '10741', '10798', '10804', '10804', '10804', '9956', '9956', '9956', '9956', '10132', '9479', '10208', '9497', '10694', '10694', '10694', '10832', '10832', '9578', '9663', '10170', '10170', '10796', '10796', '10841', '10906', '9520', '9502', '10044', '10044', '10044', '9913', '10197', '9463', '9970', '9971', '9630', '9630', '9688', '9864', '9154', '10729', '9936', '10863', '9697', '9697', '9500', '9532', '9532', '10184', '9162', '9162', '9162', '9516', '10599', '10599', '10599', '10599', '9573', '9538', '10034', '10034', '10034', '9523', '9737', '9706', '10175', '10201', '10201', '10201', '9872', '9579', '9546', '10611', '10611', '10611', '10911', '10911', '9684', '9684', '10162', '10695', '9526', '10177', '9807', '10793', '9771', '10011', '10011', '10011', '10049', '9682', '10864', '10054', '9799', '9467', '9746', '10004', '9450', '10811', '10811', '10811', '10811', '9869', '9809', '9810', '9143', '9505', '9785', '9567', '10783', '9886', '9760', '10797', '9828', '9828', '9680', '9551', '10082', '9795', '10069', '10120', '9908', '10200', '10195', '9655', '9708', '10640', '10942', '9732', '9610', '10141', '9865']"
ucgd,['9543']
organizer,"['10863', '10066', '10157', '10157', '10157']"
ocli,['9995']
preferably,"['10743', '9893', '9940', '10604']"
hog,"['9762', '9730', '10804', '10599', '10611', '10811', '9680', '9865']"
hod,"['9977', '9544']"
hob,"['10140', '10140']"
csnlluf,['9544']
dvr,['9542']
complaining,['9717']
drying,"['9942', '9859', '9950', '9870']"
feature,"['10646', '10078', '10081', '9731', '9731', '9730', '9730', '10771', '9156', '9461', '9497', '9914', '9741', '10599', '9538', '9538', '10034', '9847', '10789', '10864', '9828', '9828', '10936', '9667']"
machine,"['10646', '10646', '10646', '9994', '10933', '10173', '10173', '10173', '9589', '9855', '9586', '9863', '10101', '10159', '10940', '9501', '9501', '10786', '10035', '9517', '9517', '9517', '9762', '9588', '9588', '9588', '9540', '9540', '9820', '10111', '10641', '10168', '9533', '9533', '9900', '10144', '9479', '9497', '9497', '10013', '9751', '10694', '10694', '10832', '10170', '9599', '9599', '10801', '10841', '9510', '9510', '9884', '9884', '9454', '9922', '10190', '10190', '9970', '10821', '9606', '10142', '10603', '10603', '10603', '10603', '10603', '9500', '9763', '9538', '10034', '9718', '9929', '9929', '9929', '9929', '9929', '9929', '9523', '9927', '10150', '10099', '10843', '10169', '10169', '10598', '9499', '10903', '10647', '10084', '10074', '10074', '10074', '10074', '10835', '9488', '9488', '9475', '9475', '9537', '9537', '9948', '9807', '9807', '9807', '9512', '9512', '10793', '9482', '10730', '10730', '9169', '9169', '9699', '10054', '10909', '10740', '10164', '10009', '10048', '10941', '10037', '9701', '10055', '9680', '9852', '9747', '9642', '9772', '9772', '9772', '10104', '10135', '10023', '9865', '9897', '9897']"
laurier,"['10826', '10826', '9147', '10093']"
louisville,"['9521', '9516']"
fbsy,['9543']
hop,['10606']
nhi,['9704']
winsock,"['9890', '9890', '9871', '9724', '9858']"
abstraction,"['9577', '9577', '9477', '9477']"
beauty,"['10170', '10939']"
miij,['9978']
djserian,"['9763', '9763', '9800', '9753', '9753', '9753']"
typed,['9529']
paller,"['10638', '10638', '10638', '10638', '10638']"
minimized,['10173']
misunderstanding,"['9670', '9685', '9722']"
shores,"['9924', '9517', '9756', '9923', '10107', '10143', '10108', '9757']"
geeks,['10936']
wrong,"['10030', '9522', '10173', '10845', '10109', '10185', '9146', '9915', '10606', '10856', '9989', '10168', '10168', '9764', '9959', '10132', '9479', '9612', '10170', '9633', '9884', '10858', '9922', '9844', '10834', '9556', '9763', '9874', '10128', '9917', '9737', '10175', '9471', '10169', '9546', '10146', '10810', '10835', '10849', '10177', '9482', '9699', '9682', '9668', '10164', '9883', '10769', '10846', '10815', '9857', '10016', '10016', '10154', '9903', '9648', '10141', '9897']"
unmount,['10002']
superduperpipelined,['9856']
sankt,"['10836', '10836']"
qgyp,['9543']
types,"['9622', '9716', '9744', '9691', '9156', '9167', '9599', '9531', '9453', '10074', '9771', '9745', '8514']"
syzhang,"['10071', '10071', '10071']"
chera,"['9598', '9598']"
choking,['9688']
effective,"['9523', '10864', '10017']"
helsinki,"['10085', '10911', '9496']"
wins,['10793']
kolodzie,"['9612', '9612', '9612', '9612', '9612']"
xyg,['9704']
baggage,['10768']
sqsv,['9976']
winn,['9575']
reencoded,['9157']
menlo,['9575']
keeps,"['10151', '10134', '10134', '9506', '9517', '9517', '9634', '9634', '9634', '9533', '9536', '9536', '9536', '9621', '9621', '9621', '10636', '10123', '10123', '10146', '9488', '9682', '10119', '9886', '9795']"
lindbergh,"['9552', '9472', '9472', '9540', '9599', '9599', '9510', '9510', '9510', '9649', '9649', '9537', '9537', '9537']"
wing,"['9784', '9607', '9607', '9607']"
wind,['10055']
xj,"['9830', '9830', '9543', '9543', '9543', '10140', '10140', '10140', '9704']"
feedback,"['10694', '10603', '10603', '10731', '9996', '9679']"
vars,"['9563', '10199']"
zao,"['9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9980', '9979', '9979', '9979', '9979', '9979']"
telecom,"['9762', '10003', '9619']"
kuee,['9543']
mediavision,['10135']
vary,"['9854', '9845', '9889']"
vard,"['10041', '10041']"
xoff,['9523']
fqwmumg,['10140']
aaxup,['10140']
veraart,"['9653', '9653', '9652', '9652', '9663', '9663', '9708']"
fir,['10140']
uop,['9843']
fiv,"['9543', '9544']"
uov,['9542']
fit,"['10057', '10097', '10857', '9734', '9956', '9976', '10075', '9992', '10936', '10936']"
fractal,['10178']
fix,"['9171', '9171', '9153', '9501', '9508', '10181', '9457', '9457', '9773', '9709', '10834', '10834', '10603', '10603', '10603', '10603', '9162', '9737', '9737', '9737', '10084', '10084', '9475', '10011', '10171', '10831', '9669', '10016', '9642', '9951', '9726', '9816', '9816']"
zai,"['9977', '9977', '9977', '9978', '9978', '9976', '9976', '9976', '9976', '9979']"
mpitmc,['9830']
uoc,"['9939', '9952']"
xmbbrc,['10140']
conner,"['10694', '9601', '9594']"
xc,"['9543', '10140', '10140', '9544']"
fij,"['9985', '9985', '9985', '9985', '9985', '9985', '9985', '9985', '9985', '9985', '9985', '9985', '9985', '9985', '9985', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9984', '9983', '9983', '9983', '9983', '9983', '9983', '9983', '9983', '9983', '9983', '9977', '9977', '9977', '9543', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9978', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9704', '9979', '9979', '9979']"
wales,['10864']
uoi,['9544']
fii,['9979']
winbench,"['9137', '9137', '9137', '10186', '9167', '9167', '9167', '9167', '9167', '9167', '9167', '9167', '9167', '9452', '9452', '9563', '9563', '9563', '9563', '9474', '9474', '10598', '9169', '10864', '10864', '10864', '10864', '9509', '9509', '9166', '9166', '9166', '9166', '9140', '9140', '9140', '9140', '9140']"
easier,"['10837', '10837', '10780', '10780', '9762', '9820', '10910', '10910', '10836', '10836', '9168', '9956', '9578', '10801', '10801', '10801', '10863', '10851', '10911', '10911', '9525', '10829', '10829', '10020', '10855', '10855', '10859', '10905', '10905', '9680', '9865']"
fil,"['9984', '9984', '9979']"
fim,"['9980', '9980', '9980', '9980', '9980', '9979', '9979', '9979']"
hawthorn,['10809']
sxwqgun,['10140']
sxiwlam,['10140']
kirtley,['9163']
urmq,['9979']
urmw,"['9980', '9980', '9980', '9979']"
xg,"['9830', '9543', '9704']"
programer,['10864']
fhn,['9544']
niland,"['9149', '9157', '9523', '9523', '9523', '9523', '9547']"
interrupt,"['9523', '9523', '10011', '10011', '10011', '10011', '9726']"
trondheim,"['10045', '10045', '9663', '10041', '10099', '10048', '9603', '9603']"
awfully,['10034']
silver,"['9589', '9552', '9845', '9535', '9513', '9513', '9551', '9647', '9647', '9647', '9647', '9647', '9617']"
rumour,"['9620', '9635', '9906']"
